,Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Deliverable Volume,%Deliverble
3127,30-06-2008,RELIANCE,EQ,2182.65,2180.0,2216.9,2078.0,2083.0,2095.15,2148.04,6026649,1290000000000000.0,2733329.0,0.4535
3128,01-07-2008,RELIANCE,EQ,2095.15,2110.0,2149.0,2026.35,2026.35,2044.15,2073.25,5926354,1230000000000000.0,2067110.0,0.3488
3129,02-07-2008,RELIANCE,EQ,2044.15,2039.7,2183.0,1990.0,2145.0,2144.0,2065.31,6945445,1430000000000000.0,2605897.0,0.3752
3130,03-07-2008,RELIANCE,EQ,2144.0,2130.0,2130.0,2025.6,2074.0,2070.1,2065.88,4915980,1020000000000000.0,1800049.0,0.3662
3131,04-07-2008,RELIANCE,EQ,2070.1,2070.05,2131.2,2050.05,2079.75,2097.9,2095.21,4070364,853000000000000.0,1233018.0,0.3029
3132,07-07-2008,RELIANCE,EQ,2097.9,2090.05,2120.0,1997.0,2018.8,2028.2,2076.04,3720988,772000000000000.0,1404602.0,0.3775
3133,08-07-2008,RELIANCE,EQ,2028.2,1998.0,2016.95,1930.3,1982.0,1979.45,1970.11,4810596,948000000000000.0,1482071.0,0.3081
3134,09-07-2008,RELIANCE,EQ,1979.45,2000.0,2094.95,2000.0,2090.6,2079.15,2050.06,3520252,722000000000000.0,996204.0,0.283
3135,10-07-2008,RELIANCE,EQ,2079.15,2076.9,2084.75,2031.6,2040.0,2046.65,2053.2,2878942,591000000000000.0,1035573.0,0.3597
3136,11-07-2008,RELIANCE,EQ,2046.65,2054.0,2068.9,1992.0,2025.6,2016.1,2030.29,3350305,680000000000000.0,957525.0,0.2858
3137,14-07-2008,RELIANCE,EQ,2016.1,2000.0,2075.0,1990.0,2061.0,2043.45,2038.48,3713341,757000000000000.0,1456018.0,0.3921
3138,15-07-2008,RELIANCE,EQ,2043.45,2005.0,2046.8,1968.0,1970.0,1977.4,2006.85,4765338,956000000000000.0,2094862.0,0.4396
3139,16-07-2008,RELIANCE,EQ,1977.4,1990.15,2025.0,1920.0,1957.25,1943.5,1975.31,3876668,766000000000000.0,1198901.0,0.3093
3140,17-07-2008,RELIANCE,EQ,1943.5,2038.0,2044.7,1965.1,2028.7,2018.55,1998.11,3088057,617000000000000.0,925375.0,0.2997
3141,18-07-2008,RELIANCE,EQ,2018.55,1990.0,2127.0,1990.0,2110.55,2113.2,2059.3,3849669,793000000000000.0,1404073.0,0.3647
3142,21-07-2008,RELIANCE,EQ,2113.2,2149.0,2164.25,2093.05,2157.4,2152.85,2125.29,2975966,632000000000000.0,1096039.0,0.3683
3143,22-07-2008,RELIANCE,EQ,2152.85,2125.0,2199.0,2125.0,2147.25,2152.15,2166.34,2853219,618000000000000.0,1010614.0,0.3542
3144,23-07-2008,RELIANCE,EQ,2152.15,2170.0,2279.0,2170.0,2278.9,2267.3,2234.72,5049840,1130000000000000.0,2509499.0,0.4969
3145,24-07-2008,RELIANCE,EQ,2267.3,2259.9,2330.0,2259.9,2310.05,2308.05,2298.74,3331358,766000000000000.0,1104684.0,0.3316
3146,25-07-2008,RELIANCE,EQ,2308.05,2338.45,2338.45,2135.0,2142.1,2147.1,2165.78,7129220,1540000000000000.0,3828792.0,0.5371
3147,28-07-2008,RELIANCE,EQ,2147.1,2150.05,2189.0,2106.0,2177.25,2179.9,2149.07,3383436,727000000000000.0,1081715.0,0.3197
3148,29-07-2008,RELIANCE,EQ,2179.9,2139.8,2158.95,2075.0,2079.45,2083.1,2110.53,3553556,750000000000000.0,1421814.0,0.4001
3149,30-07-2008,RELIANCE,EQ,2083.1,2138.0,2174.0,2100.05,2172.5,2165.5,2147.79,2096377,450000000000000.0,632233.0,0.3016
3150,31-07-2008,RELIANCE,EQ,2165.5,2214.8,2220.0,2155.25,2214.0,2207.5,2194.72,3253164,714000000000000.0,1731844.0,0.5324
3151,01-08-2008,RELIANCE,EQ,2207.5,2170.05,2313.0,2153.0,2308.65,2297.6,2260.74,3774513,853000000000000.0,1232992.0,0.3267
3152,04-08-2008,RELIANCE,EQ,2297.6,2349.8,2349.8,2232.6,2242.0,2242.4,2260.98,4096186,926000000000000.0,2084552.0,0.5089
3153,05-08-2008,RELIANCE,EQ,2242.4,2256.65,2286.0,2205.0,2281.0,2276.05,2242.71,4797583,1080000000000000.0,2267239.0,0.4726
3154,06-08-2008,RELIANCE,EQ,2276.05,2290.0,2349.0,2286.1,2297.5,2298.6,2321.32,4163954,967000000000000.0,1980806.0,0.4757
3155,07-08-2008,RELIANCE,EQ,2298.6,2298.0,2316.9,2260.25,2270.0,2272.6,2285.91,2806584,642000000000000.0,792897.0,0.2825
3156,08-08-2008,RELIANCE,EQ,2272.6,2249.7,2284.0,2231.05,2245.8,2251.8,2252.62,3303349,744000000000000.0,1394137.0,0.422
3157,11-08-2008,RELIANCE,EQ,2251.8,2251.15,2336.0,2251.15,2331.3,2325.25,2314.52,2927085,677000000000000.0,1334274.0,0.4558
3158,12-08-2008,RELIANCE,EQ,2325.25,2340.0,2374.5,2315.1,2353.3,2347.25,2345.76,3758158,882000000000000.0,1431602.0,0.3809
3159,13-08-2008,RELIANCE,EQ,2347.25,2329.8,2376.0,2307.35,2338.75,2336.85,2340.5,3252519,761000000000000.0,1033494.0,0.3178
3160,14-08-2008,RELIANCE,EQ,2336.85,2336.0,2345.0,2261.35,2275.0,2276.7,2302.39,2397678,552000000000000.0,731873.0,0.3052
3161,18-08-2008,RELIANCE,EQ,2276.7,2290.0,2290.0,2210.2,2224.0,2224.8,2232.14,2513403,561000000000000.0,964637.0,0.3838
3162,19-08-2008,RELIANCE,EQ,2224.8,2225.0,2234.0,2195.4,2226.0,2219.6,2216.27,2077098,460000000000000.0,605922.0,0.2917
3163,20-08-2008,RELIANCE,EQ,2219.6,2220.0,2260.0,2217.5,2257.65,2246.35,2236.78,2273633,509000000000000.0,998165.0,0.439
3164,21-08-2008,RELIANCE,EQ,2246.35,2261.25,2261.25,2202.55,2207.05,2212.65,2216.83,1954673,433000000000000.0,866051.0,0.4431
3165,22-08-2008,RELIANCE,EQ,2212.65,2199.5,2259.9,2199.1,2240.0,2244.8,2240.57,2294686,514000000000000.0,883150.0,0.3849
3166,25-08-2008,RELIANCE,EQ,2244.8,2205.35,2285.0,2205.35,2223.0,2232.0,2252.33,1391259,313000000000000.0,518905.0,0.373
3167,26-08-2008,RELIANCE,EQ,2232.0,2219.0,2219.0,2146.65,2185.1,2179.35,2170.1,3475808,754000000000000.0,1571435.0,0.4521
3168,27-08-2008,RELIANCE,EQ,2179.35,2199.9,2199.9,2140.0,2145.0,2148.0,2156.76,3693248,797000000000000.0,2100637.0,0.5688
3169,28-08-2008,RELIANCE,EQ,2148.0,2168.0,2168.0,2052.8,2085.0,2070.85,2101.19,4800181,1010000000000000.0,2527294.0,0.5265
3170,29-08-2008,RELIANCE,EQ,2070.85,2140.0,2147.9,2099.0,2125.3,2136.2,2124.55,2517428,535000000000000.0,1043358.0,0.4145
3171,01-09-2008,RELIANCE,EQ,2136.2,2120.0,2165.45,2103.0,2146.7,2141.65,2140.73,2288933,490000000000000.0,752181.0,0.3286
3172,02-09-2008,RELIANCE,EQ,2141.65,2140.0,2225.0,2125.0,2215.0,2212.75,2182.23,2521424,550000000000000.0,825138.0,0.3273
3173,04-09-2008,RELIANCE,EQ,2212.75,2250.0,2250.0,2132.0,2156.0,2152.25,2159.08,2663348,575000000000000.0,1134885.0,0.4261
3174,05-09-2008,RELIANCE,EQ,2152.25,2105.0,2105.0,2065.0,2085.0,2080.9,2082.28,3225044,672000000000000.0,1678146.0,0.5203
3175,08-09-2008,RELIANCE,EQ,2080.9,2190.0,2190.0,2125.0,2130.4,2133.2,2146.68,2868523,616000000000000.0,1644318.0,0.5732
3176,09-09-2008,RELIANCE,EQ,2133.2,2145.0,2159.0,2086.55,2132.0,2142.55,2122.87,1970535,418000000000000.0,625170.0,0.3173
3177,10-09-2008,RELIANCE,EQ,2142.55,2129.95,2134.7,2072.0,2081.0,2082.65,2099.32,3817866,801000000000000.0,2053846.0,0.538
3178,11-09-2008,RELIANCE,EQ,2082.65,2070.0,2070.0,1982.25,2000.0,1997.4,2008.67,5691958,1140000000000000.0,3189096.0,0.5603
3179,12-09-2008,RELIANCE,EQ,1997.4,2028.95,2040.0,1919.7,1920.0,1932.65,1964.08,6817991,1340000000000000.0,3504378.0,0.514
3180,15-09-2008,RELIANCE,EQ,1932.65,1889.7,1900.0,1823.25,1880.0,1886.95,1856.62,5023992,933000000000000.0,2319326.0,0.4617
3181,16-09-2008,RELIANCE,EQ,1886.95,1800.0,1935.0,1800.0,1930.0,1928.05,1880.7,4476452,842000000000000.0,1831883.0,0.4092
